,Table 7: Species changing IUCN Red List Status (2013-2014),,,,,
,,,,,,
,"Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red List users interpret the changes between the Red List updates, a summary of species that have changed category between 2013 (IUCN Red List version 2013.2) and 2014 (IUCN Red List version 2014.3) and the reasons for these changes is provided in the table below.",,,,,
,"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,
,"Reasons for change:  G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e., status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing was an Error.",,,,,
,,,,,,
,Scientific name,Common name,IUCN Red List (2013) Category,IUCN Red List (2014) Category,Reason for change,Red List version
,,,,,,
,MAMMALS,,,,,
,Galaxias postvectis,Shortjaw Kokopu,VU,EN,N,2014.3
,Gammogobius steinitzi,Steinitz's Goby,DD,LC,N,2014.3
,Garra ghorensis,Dear Sea Garra,CR,EN,N,2014.1
,Gobio hettitorum,Taurus Gudgeon,VU,CR,N,2014.1
,Gobiomorphus alpinus,Tarndale Bully,VU,LC,N,2014.3
,Gobius ater,Bellotti's Goby,DD,LC,N,2014.3
,Gobius kolombatovici,,DD,LC,N,2014.3
,Gouania willdenowi,Blunt-snouted Clingfish,DD,LC,N,2014.3
,Haplochromis flaviijosephi,Jordan Mouthbrooder,EN,VU,N,2014.1
,Hemigrammocapoeta caudomaculata,Asi Golden Barb,DD,LC,N,2014.1
,Hemigrammocapoeta culiciphaga,Red Stripe Barb,DD,LC,N,2014.1
,Hemigrammocapoeta kemali,Tuz Golden Barb,CR,EN,N,2014.1
,Hemigrammocapoeta nana,Damascus Garra,VU,NT,N,2014.1
,Hemitremia flammea,Flame Chub,DD,NT,N,2014.3
,Hypomesus transpacificus,Delta Smelt,EN,CR,G,2014.3
,Knipowitschia mermere,Gediz Dwarf Goby,CR,VU,N,2014.1
,Ladigesocypris irideus,Anatolian Ghizani,DD,NT,N,2014.1
,Lepidomeda vittata,Little Colorado Spinedace,VU,EN,N,2014.3
,Luciobarbus longiceps,Jordan Barbel,VU,EN,G,2014.1
,Lythrurus snelsoni,Ouachita Mountain Shiner,VU,LC,N,2014.3
,Macrhybopsis gelida,Sturgeon Chub,VU,LC,N,2014.3
,Macrhybopsis meeki,Sicklefin Chub,LR/nt,LC,N,2014.3
,Microlipophrys adriaticus,,DD,LC,N,2014.3
,Microlipophrys dalmatinus,,DD,LC,N,2014.3
,Micropterus treculii,Guadalupe Bass,DD,NT,N,2014.3
,Millerigobius macrocephalus,,DD,LC,N,2014.3
,Moxostoma hubbsi,Copper Redhorse,VU,EN,N,2014.1
,Neochanna apoda,Brown Mudfish,VU,EN,N,2014.3
,Neochanna burrowsius,Canterbury Mudfish,VU,CR,N,2014.3
,Neochanna diversus,Black Mudfish,DD,EN,N,2014.3
,Neochanna rekohua,Chatham Mudfish,VU,LC,N,2014.3
,Notropis anogenus,Pugnose Shiner,NT,LC,N,2014.3
,Notropis bifrenatus,Bridle Shiner,NT,LC,N,2014.3
,Notropis jemezanus,Rio Grande Shiner,DD,LC,N,2014.3
,Notropis topeka,Topeka Shiner,NT,LC,N,2014.3
,Noturus furiosus,Carolina Madtom,DD,NT,N,2014.3
,Odondebuenia balearica,Coralline Goby,DD,LC,N,2014.3
,Opeatogenys gracilis,,VU,LC,N,2014.3
,Oxynoemacheilus angorae,Sakarya Loach,DD,LC,N,2014.1
,Oxynoemacheilus galilaeus,Galilean Loach,DD,CR,N,2014.1
,Oxynoemacheilus insignis,Palestine Loach,DD,NT,N,2014.1
,Oxynoemacheilus leontinae,Lebanese Loach,DD,LC,N,2014.1
,Oxynoemacheilus seyhanensis,Samanti Loach,EN,CR,N,2014.1
,Pagrus auratus,Snapper,DD,LC,N,2014.3
,Pagrus pagrus,Red Porgy,EN,LC,N,2014.3
,Parablennius zvonimiri,Zvonimir's Blenny,DD,LC,N,2014.3
,Percina lenticula,Freckled Darter,VU,NT,N,2014.3
,Percina nasuta,Longnose Darter,LR/nt,LC,N,2014.3
,Percina pantherina,Leopard Darter,VU,EN,N,2014.3
,Petroleuciscus smyrnaeus,Smyrna Chub,DD,LC,N,2014.1
,Pomatoschistus bathi,,DD,LC,N,2014.3
,Pomatoschistus knerii,Kner's Goby,DD,LC,N,2014.3
,Protemblemaria punctata,,VU,DD,N,2014.3
