class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
MAMMALS,Arborimus longicaudus,NT,NT,2007,2008,1,1,0
MAMMALS,Arvicola sapidus,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Calomys hummelincki,NT,VU,2007,2008,1,2,-1
MAMMALS,Mesocricetus brandti,NT,NT,2007,2008,1,1,0
MAMMALS,Microtus oaxacensis,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Microtus quasiater,NT,NT,2007,2008,1,1,0
MAMMALS,Microtus umbrosus,NT,EN,2007,2008,1,3,-2
MAMMALS,Neotoma palatina,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Reithrodontomys microdon,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Reithrodontomys spectabilis,EN,CR,2007,2008,3,4,-1
MAMMALS,Sigmodon alleni,NT,VU,2007,2008,1,2,-1
MAMMALS,Thomasomys hylophilus,NT,EN,2007,2008,1,3,-2
MAMMALS,Wilfredomys oenax,NT,EN,2007,2008,1,3,-2
MAMMALS,Xenomys nelsoni,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Ctenomys australis,NT,EN,2007,2008,1,3,-2
MAMMALS,Allactaga vinogradovi,NT,NT,2007,2008,1,1,0
MAMMALS,Pappogeomys alcorni,VU,CR,2007,2008,2,4,-2
MAMMALS,Chaetodipus goldmani,NT,VU,2007,2008,1,2,-1
MAMMALS,Dipodomys nitratoides,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Gerbillus gleadowi,NT,NT,2007,2008,1,1,0
MAMMALS,Maxomys rajah,NT,VU,2007,2008,1,2,-1
MAMMALS,Maxomys whiteheadi,NT,VU,2007,2008,1,2,-1
MAMMALS,Nesokia bunnii,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Niviventer cremoriventer,NT,VU,2007,2008,1,2,-1
MAMMALS,Pseudomys fumeus,VU,EN,2007,2008,2,3,-1
MAMMALS,Pseudomys novaehollandiae,NT,VU,2007,2008,1,2,-1
MAMMALS,Rattus richardsoni,NT,VU,2007,2008,1,2,-1
MAMMALS,Solomys ponceleti,EN,CR,2007,2008,3,4,-1
MAMMALS,Solomys salebrosus,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Solomys sapientis,VU,EN,2007,2008,2,3,-1
MAMMALS,Uromys neobritannicus,NT,EN,2007,2008,1,3,-2
MAMMALS,Zyzomys maini,NT,NT,2007,2008,1,1,0
MAMMALS,Octodon bridgesi,NT,VU,2007,2008,1,2,-1
MAMMALS,Octodon pacificus,VU,CR,2007,2008,2,4,-2
MAMMALS,Callosciurus adamsi,NT,VU,2007,2008,1,2,-1
MAMMALS,Callosciurus melanogaster,NT,VU,2007,2008,1,2,-1
MAMMALS,Marmota sibirica,NT,EN,2007,2008,1,3,-2
MAMMALS,Marmota vancouverensis,EN,CR,2007,2008,3,4,-1
MAMMALS,Petaurista nobilis,LR/nt,VU,2007,2008,NA,2,NA
MAMMALS,Petinomys genibarbis,NT,VU,2007,2008,1,2,-1
MAMMALS,Petinomys lugens,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Petinomys setosus,NT,VU,2007,2008,1,2,-1
MAMMALS,Petinomys vordermanni,NT,VU,2007,2008,1,2,-1
MAMMALS,Pteromyscus pulverulentus,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Ratufa bicolor,NT,NT,2007,2008,1,1,0
MAMMALS,Rhinosciurus laticaudatus,NT,NT,2007,2008,1,1,0
MAMMALS,Rubrisciurus rubriventer,NT,VU,2007,2008,1,2,-1
MAMMALS,Spermophilus perotensis,LR/nt,EN,2007,2008,NA,3,NA
MAMMALS,Spermophilus xanthoprymnus,NT,NT,2007,2008,1,1,0
MAMMALS,Spalax arenarius,VU,EN,2007,2008,2,3,-1
MAMMALS,Spalax zemni,NT,VU,2007,2008,1,2,-1
BIRDS,Genuine improvements,,,2007,2008,NA,NA,NA
BIRDS,Ducula galeata,CR,EN,2007,2008,4,3,1
BIRDS,Apteryx owenii,VU,NT,2007,2008,2,1,1
