"species","common_name","reason_for_change","class","previous_category","current_category","previous_year","current_year"
"Heteromirafra sidamoensis","Sidamo Lark","G","BIRDS","EN","CR",2008,2009
"Loxioides bailleui","Palila","G","BIRDS","EN","CR",2008,2009
"Menura alberti","Albert's Lyrebird","G","BIRDS","VU","NT",2008,2009
"Podiceps gallardoi","Hooded Grebe","G","BIRDS","NT","EN",2008,2009
"Pterodroma axillaris","Chatham Petrel","G","BIRDS","CR","EN",2008,2009
"Pterodroma cookii","Cook's Petrel","G","BIRDS","EN","VU",2008,2009
"Suiriri islerorum","Chapada Flycatcher ","G","BIRDS","LC","NT",2008,2009
"Todiramphus godeffroyi","Marquesan Kingfisher ","G","BIRDS","EN","CR",2008,2009
"Nectophrynoides asperginis","Kihansi Spray Toad","G","AMPHIBIANS","CR","EW",2008,2009
"Balearica pavonina","Black Crowned-crane","G","BIRDS","NT","VU",2009,2010
"Calidris tenuirostris","Great Knot","G","BIRDS","LC","VU",2009,2010
"Chaetura pelagica","Chimney Swift","G","BIRDS","LC","NT",2009,2010
"Cyanolimnas cerverai","Zapata Rail","G","BIRDS","EN","CR",2009,2010
"Emberiza jankowskii","Rufous-backed Bunting","G","BIRDS","VU","EN",2009,2010
"Numenius madagascariensis","Far Eastern Curlew","G","BIRDS","LC","VU",2009,2010
"Ognorhynchus icterotis","Yellow-eared Parrot","G","BIRDS","CR","EN",2009,2010
"Spheniscus demersus","African Penguin","G","BIRDS","VU","EN",2009,2010
"Sturnus melanopterus","Black-winged Starling","G","BIRDS","EN","CR",2009,2010
"Vandijkophrynus amatolicus","Amatola Toad","G","AMPHIBIANS","EN","CR",2009,2010
"Ceratozamia latifolia","","G","CYCADS","VU","EN",2009,2010
"Ceratozamia miqueliana","","G","CYCADS","VU","CR",2009,2010
"Ceratozamia robusta","","G","CYCADS","VU","EN",2009,2010
"Cycas armstrongii","","G","CYCADS","LC","VU",2009,2010
"Cycas elongata","","G","CYCADS","VU","EN",2009,2010
"Cycas lindstromii","","G","CYCADS","VU","EN",2009,2010
"Cycas pachypoda","","G","CYCADS","VU","CR",2009,2010
"Cycas taitungensis","","G","CYCADS","VU","EN",2009,2010
"Encephalartos brevifoliolatus","","G","CYCADS","EW","EW",2009,2010
"Encephalartos cerinus","Waxen Cycad","G","CYCADS","CR","CR",2009,2010
"Encephalartos ferox","Kozi Cycad","G","CYCADS","LC","NT",2009,2010
"Encephalartos whitelockii","","G","CYCADS","VU","CR",2009,2010
"Macrozamia lomandroides","","G","CYCADS","VU","EN",2009,2010
"Stangeria eriopus","Natal Grass Cycad","G","CYCADS","NT","VU",2009,2010
"Equus ferus","Przewalski's Horse","G","MAMMALS","CR","EN",2010,2011
"Oryx leucoryx","Arabian Oryx","G","MAMMALS","EN","VU",2010,2011
"Sylvilagus mansuetus","San Jose Brush Rabbit","G","MAMMALS","NT","CR",2010,2011
"Anas nesiotis","Campbell Islands Teal","G","BIRDS","CR","EN",2010,2011
"Ardeotis nigriceps","Great Indian Bustard","G","BIRDS","EN","CR",2010,2011
"Atlapetes pallidiceps","Pale-headed Brush-finch","G","BIRDS","CR","EN",2010,2011
"Columba bollii","Dark-tailed Laurel Pigeon","G","BIRDS","NT","LC",2010,2011
"Columba junoniae","White-tailed Laurel Pigeon","G","BIRDS","EN","NT",2010,2011
"Columba trocaz","Madeira Laurel Pigeon","G","BIRDS","NT","LC",2010,2011
"Myiagra albiventris","Samoan Flycatcher","G","BIRDS","VU","NT",2010,2011
"Eumetopias jubatus","Steller Sea Lion","G","MAMMALS","EN","NT",2011,2012
"Accipiter poliogaster","Gray-bellied Hawk","G","BIRDS","LC","NT",2011,2012
"Agamia agami","Agami Heron","G","BIRDS","LC","VU",2011,2012
"Amazona festiva","Festive Amazon","G","BIRDS","LC","VU",2011,2012
"Amazona kawalli","Kawall's Amazon","G","BIRDS","LC","NT",2011,2012
"Amytornis housei","Black Grasswren","G","BIRDS","LC","NT",2011,2012
"Amytornis merrotsyi","Short-tailed Grasswren","G","BIRDS","LC","NT",2011,2012
