"","Binomial","Common","Status","Trend","System","Taxon","combo","Delta_Status","Status_Impr","source_2019","source.count","source.freq","Threatened"
"131","Balaenoptera musculus","Blue Whale","EN","Increasing","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"132","Callorhinus ursinus","Northern Fur Seal","VU","Decreasing","Marine,Terrestrial","MarineMam","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"133","Mecistops cataphractus","Slender-snouted Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"134","Crocodylus siamensis","Siamese Crocodile","CR","Decreasing","Freshwater,Terrestrial","ReptAmph","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"135","Cystophora cristata","Hooded Seal","VU","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"136","Delphinapterus leucas","Beluga","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"137","Delphinus delphis","Short-beaked Common Dolphin","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"138","Erignathus barbatus","Bearded Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"139","Eubalaena australis","Southern Right Whale","LC","U","Marine","MarineMam","11.1 2.3.7",1,"Improved","Climate Change",67,5.72649572649573,"N"
"140","Eumetopias jubatus","Steller Sea Lion","NT","Increasing","Marine,Terrestrial","MarineMam","11.1 1.3",2,"Improved","Climate Change",67,5.72649572649573,"N"
"141","Feresa attenuata","Pygmy killer whale","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"142","Grampus griseus","Risso's Dolphin","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"143","Halichoerus grypus","Grey Seal","LC","Increasing","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"144","Hydrurga leptonyx","Leopard Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"145","Hyperoodon planifrons","Southern Bottlenose Whale","LC","U","Marine","MarineMam","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"146","Leptonychotes weddellii","Weddell Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"147","Lobodon carcinophaga","Crabeater Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"148","Lynx pardinus","Iberian lynx","EN","Increasing","Terrestrial","LandMam","11.1 1.1",1,"Improved","Climate Change",67,5.72649572649573,"Y"
"149","Monachus monachus","Mediterranean Monk Seal","EN","Increasing","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"150","Neomonachus schauinslandi","Hawaiian Monk Seal","EN","Decreasing","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"151","Monodon monoceros","Narwhal","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"152","Neophoca cinerea","Australian Sea Lion","EN","Decreasing","Marine,Terrestrial","MarineMam","11.1 1.1",-3,"Declined","Climate Change",67,5.72649572649573,"Y"
"153","Odobenus rosmarus","Walrus","VU","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"154","Ommatophoca rossii","Ross Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"155","Peponocephala electra","Melon-headed Whale","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"156","Phoca vitulina","Harbor Seal","LC","U","Marine,Freshwater,Terrestrial","MarineMam","11.1 2.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"157","Phoca largha","Spotted Seal","LC","U","Marine,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"158","Pseudorca crassidens","False Kille Whale","NT","U",NA,"MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"159","Ziphius cavirostris","Cuvier's Beaked Whale","LC","U","Marine","MarineMam","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"160","Pusa caspica","Caspian Seal","EN","U","Freshwater,Terrestrial","LandMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"161","Histriophoca fasciata","Ribbon Seal","LC","U","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"162","Pagophilus groenlandicus","Harp Seal","LC","Increasing","Marine","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"163","Pusa hispida","Ringed Seal","LC","U","Marine,Freshwater,Terrestrial","MarineMam","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"164","Pusa sibirica","Baikal Seal","LC","Stable","Freshwater,Terrestrial","LandMam","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"165","Epinephelus tukula","Potato Grouper","LC","U","Marine","Bony","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"166","Bubo scandiacus","Snowy Owl","VU","Decreasing","Freshwater,Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"Y"
"167","Strix nebulosa","Great Grey Owl","LC","Increasing","Freshwater,Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"168","Ninox strenua","Powerful Owl","LC","Stable","Freshwater,Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"169","Gypaetus barbatus","Bearded Vulture","NT","Decreasing","Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"170","Gyps coprotheres","Cape Vulture","EN","Decreasing","Terrestrial","Birds","11.1 1.2",-1,"Declined","Climate Change",67,5.72649572649573,"Y"
"171","Buteo rufofuscus","Jackal Buzzard","LC","Stable","Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"172","Aquila chrysaetos","Golden Eagle","LC","Stable","Terrestrial","Birds","11.1 1.1",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"173","Phalcoboenus australis","Striated Caracara","NT","Stable","Marine,Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"174","Falco rusticolus","Gyrfalcon","LC","Stable","Marine,Terrestrial","Birds","11.1 1.2",0,"Unchanged","Climate Change",67,5.72649572649573,"N"
"175","Arctocephalus galapagoensis","Galapagos Fur Seal","EN","Decreasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",-1,"Declined","Fishing",148,12.6495726495726,"Y"
"176","Arctocephalus gazella","Antarctic Fur Seal","LC","Decreasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"177","Arctocephalus philippii","Juan Fernández Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",1,"Improved","Fishing",148,12.6495726495726,"N"
"178","Arctocephalus pusillus","Afro-Australian Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"179","Arctocephalus townsendi","Guadalupe Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",1,"Improved","Fishing",148,12.6495726495726,"N"
"180","Arctocephalus tropicalis","Subantarctic Fur Seal","LC","Stable","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"181","Balaena mysticetus","Bowhead Whale","LC","Increasing","Marine","MarineMam","5.4.2 ",1,"Improved","Fishing",148,12.6495726495726,"N"
"182","Balaenoptera acutorostrata","Common Minke Whale","LC","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"183","Balaenoptera borealis","Sei Whale","EN","Increasing","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"184","Balaenoptera musculus","Blue Whale","EN","Increasing","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"185","Balaenoptera physalus","Fin Whale","VU","Increasing","Marine","MarineMam","5.4.2 2.1",1,"Improved","Fishing",148,12.6495726495726,"Y"
"186","Callorhinus ursinus","Northern Fur Seal","VU","Decreasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"187","Carcharhinus limbatus","Blacktip Shark","NT","U","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"188","Carcharhinus obscurus","Dusky Shark","VU","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"189","Cephalorhynchus eutropia","Chilean Dolphin","NT","Decreasing","Marine,Freshwater","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"190","Delphinus delphis","Short-beaked Common Dolphin","LC","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"191","Epinephelus marginatus","Dusky Grouper","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"192","Erignathus barbatus","Bearded Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"193","Eschrichtius robustus","Gray Whale","LC","Stable","Marine","MarineMam","5.4.2 2.1",1,"Improved","Fishing",148,12.6495726495726,"N"
"194","Eubalaena australis","Southern Right Whale","LC","U","Marine","MarineMam","5.4.2 2.1",1,"Improved","Fishing",148,12.6495726495726,"N"
"195","Halichoerus grypus","Grey Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"196","Hexanchus griseus","Bluntnose Sixgill Shark","NT","U","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"197","Hucho hucho","Danube Salmon","EN","U","Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"198","Huso dauricus","Kaluga","CR","Decreasing","Marine,Freshwater","Bony","5.4.2 2.1",-1,"Declined","Fishing",148,12.6495726495726,"Y"
"199","Huso huso","Beluga","CR","Decreasing","Marine,Freshwater","Bony","5.4.2 2.1",-1,"Declined","Fishing",148,12.6495726495726,"Y"
"200","Lamna nasus","Porbeagle","VU","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"201","Lutjanus cyanopterus","Cubera Snapper","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"202","Megaptera novaeangliae","Humpback Whale","LC","Increasing","Marine","MarineMam","5.4.2 2.1",2,"Improved","Fishing",148,12.6495726495726,"N"
"203","Mirounga angustirostris","Northern Elephant Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"204","Mirounga leonina","Southern Elephant Seal","LC","Stable","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"205","Mycteroperca jordani","Gulf Grouper","EN","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"206","Neophoca cinerea","Australian Sea Lion","EN","Decreasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",-3,"Declined","Fishing",148,12.6495726495726,"Y"
"207","Odobenus rosmarus","Walrus","VU","U","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"208","Pristis pectinata","Smalltooth Sawfish","CR","Decreasing","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"209","Psephurus gladius","Chinese Paddlefish","CR","U","Marine,Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"210","Stenella attenuata","Pantropical Spotted Dolphin","LC","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"211","Stereolepis gigas","Giant Sea Bass","CR","U","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"212","Thunnus alalunga","Albacore Tuna","NT","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"213","Thunnus albacares","Yellowfin Tuna","NT","Decreasing","Marine","Bony","5.4.2 2.1",-1,"Declined","Fishing",148,12.6495726495726,"N"
"214","Thunnus obesus","Bigeye Tuna","VU","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"215","Thunnus thynnus","Atlantic Bluefin Tuna","EN","Decreasing","Marine","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"216","Totoaba macdonaldi","Totoaba","CR","Decreasing","Marine,Freshwater","Bony","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"217","Alopias vulpinus","Common Thresher Shark","VU","Decreasing","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"218","Isurus oxyrinchus","Shortfin Mako","EN","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"219","Lamna ditropis","Salmon Shark","LC","Stable","Marine","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"220","Carcharhinus leucas","Bull Shark","NT","U","Marine,Freshwater","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"221","Negaprion brevirostris","Lemon Shark","NT","U","Marine,Freshwater","Elasmo","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"222","Sphyrna lewini","Scalloped Hammerhead","EN","U","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"223","Sphyrna mokarran","Great Hammerhead","EN","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"224","Sphyrna zygaena","Smooth Hammerhead","VU","Decreasing","Marine","Elasmo","5.4.2 ",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"225","Arctocephalus forsteri","New Zealand Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"226","Histriophoca fasciata","Ribbon Seal","LC","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"227","Pusa hispida","Ringed Seal","LC","U","Marine,Freshwater,Terrestrial","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"228","Pusa sibirica","Baikal Seal","LC","Stable","Freshwater,Terrestrial","LandMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"229","Eubalaena japonica","North Pacific Right Whale","EN","U","Marine","MarineMam","5.4.2 2.1",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
