Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Ketupa flavipes,Tawny Fish-owl,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Neomonachus schauinslandi,Hawaiian Monk Seal,EN,Decreasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Puma concolor,Puma,LC,Decreasing,Terrestrial,LandMam,0,Unchanged
Carcharhinus obscurus,Dusky Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Epinephelus malabaricus,Malabar Grouper,LC,Decreasing,Marine,Bony,0,Unchanged
Tomistoma schlegelii,False Gharial,VU,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,Unchanged
Epinephelus itajara,Atlantic Goliath Grouper,VU,Decreasing,Marine,Bony,0,Unchanged
Squatina squatina,Angelshark,CR,Decreasing,Marine,Elasmo,0,Unchanged
Carcharhinus longimanus,Oceanic Whitetip Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Pristis pectinata,Smalltooth Sawfish,CR,Decreasing,Marine,Elasmo,0,Unchanged
Lamna nasus,Porbeagle,VU,Decreasing,Marine,Elasmo,0,Unchanged
Andrias japonicus,Japanese Giant Salamander,NT,Decreasing,Freshwater,ReptAmph,0,Unchanged
Aquila rapax,Tawny Eagle,VU,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Bubo scandiacus,Snowy Owl,VU,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Clanga clanga,Greater Spotted Eagle,VU,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Sagittarius serpentarius,Secretarybird,VU,Decreasing,Terrestrial,Birds,0,Unchanged
Sousa teuszii,Atlantic Humpbacked Dolphin,CR,Decreasing,"Marine,Freshwater",MarineMam,0,Unchanged
Aonyx capensis,African Clawless Otter,NT,Decreasing,"Marine,Freshwater,Terrestrial",LandMam,0,Unchanged
Aquila gurneyi,Gurney's Eagle,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Buteogallus coronatus,Crowned Solitary Eagle,EN,Decreasing,Terrestrial,Birds,0,Unchanged
Cuon alpinus,Dhole,EN,Decreasing,Terrestrial,LandMam,0,Unchanged
Haliaeetus leucoryphus,Pallas's Fish-eagle,EN,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Lycaon pictus,African Wild Dog,EN,Decreasing,NA,LandMam,0,Unchanged
Megatriorchis doriae,Doria's Goshawk,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Nesasio solomonensis,Fearful Owl,VU,Decreasing,Terrestrial,Birds,0,Unchanged
Nisaetus floris,Flores Hawk-eagle,CR,Decreasing,Terrestrial,Birds,0,Unchanged
Orcaella brevirostris,Irrawaddy Dolphin,EN,Decreasing,"Marine,Freshwater",MarineMam,0,Unchanged
Pteronura brasiliensis,Giant Otter,EN,Decreasing,"Freshwater,Terrestrial",LandMam,0,Unchanged
Sousa chinensis,Indo-Pacific Humpbacked Dolphin,VU,Decreasing,"Marine,Freshwater",MarineMam,0,Unchanged
Stephanoaetus coronatus,Crowned Eagle,NT,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Terathopius ecaudatus,Bateleur,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Vultur gryphus,Andean Condor,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Canis simensis,Ethiopian Wolf,EN,Decreasing,Terrestrial,LandMam,0,Unchanged
Crocuta crocuta,Spotted Hyaena,LC,Decreasing,Terrestrial,LandMam,0,Unchanged
Panthera onca,Jaguar,NT,Decreasing,Terrestrial,LandMam,0,Unchanged
Panthera uncia,Snow Leopard,VU,Decreasing,Terrestrial,LandMam,0,Unchanged
Pardofelis marmorata,Marbled Cat,NT,Decreasing,Terrestrial,LandMam,0,Unchanged
