Binomial,Common,redlistCategory,populationTrend,systems,Taxon,Delta_Status,Most_Recent_Change,is_geniune
Petrus rupestris,Red Steenbras,Endangered,Decreasing,Marine,Bony,0,0,NA
Pithecophaga jefferyi,Philippine Eagle,Critically Endangered,Decreasing,Terrestrial,Birds,0,0,NA
Ptyas carinata,Keeled Rat Snake,Least Concern,Decreasing,Terrestrial,ReptAmph,0,0,NA
Python bivittatus,Burmese Python,Vulnerable,Decreasing,Terrestrial,ReptAmph,0,0,NA
Rhynchobatus luebberti,African Wedgefish,Endangered,Decreasing,Marine,Elasmo,0,0,NA
Rostroraja alba,White Skate,Endangered,Decreasing,Marine,Elasmo,0,0,NA
Salmo marmoratus,NA,Least Concern,Decreasing,Freshwater,Bony,0,0,NA
Sarcoramphus papa,King Vulture,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Scomberomorus commerson,Narrow-barred Spanish Mackerel,Near Threatened,Decreasing,Marine,Bony,0,0,NA
Scotopelia peli,Pel's Fishing-owl,Least Concern,Decreasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Sphyrna mokarran,Great Hammerhead,Endangered,Decreasing,Marine,Elasmo,0,0,NA
Spizaetus tyrannus,Black Hawk-eagle,Least Concern,Decreasing,"Freshwater,Terrestrial",Birds,0,0,NA
Strix leptogrammica,Brown Wood-owl,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Taeniurops meyeni,Blotched Fantail Ray,Vulnerable,Decreasing,Marine,Elasmo,0,0,NA
Thunnus alalunga,Albacore Tuna,Near Threatened,Decreasing,Marine,Bony,0,0,NA
Thunnus obesus,Bigeye Tuna,Vulnerable,Decreasing,Marine,Bony,0,0,NA
Thunnus thynnus,Atlantic Bluefin Tuna,Endangered,Decreasing,Marine,Bony,0,0,NA
Totoaba macdonaldi,Totoaba,Critically Endangered,Decreasing,"Marine,Freshwater",Bony,0,0,NA
Xiphias gladius,Swordfish,Least Concern,Decreasing,Marine,Bony,0,0,NA
Bubo nipalensis,Spot-bellied Eagle-owl,Least Concern,Decreasing,Terrestrial,Birds,0,0,NA
Gyps bengalensis,White-rumped Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,0,0,NA
Mecistops cataphractus,Slender-snouted Crocodile,Critically Endangered,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,0,non-genuine
Thunnus orientalis,Pacific Bluefin Tuna,Vulnerable,Decreasing,Marine,Bony,0,0,non-genuine
Bubo shelleyi,Shelley's Eagle-owl,Vulnerable,Decreasing,Terrestrial,Birds,0,0,non-genuine
Carcharhinus falciformis,Silky Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Epinephelus marginatus,Dusky Grouper,Vulnerable,Decreasing,Marine,Bony,0,0,non-genuine
Carcharhinus albimarginatus,Silvertip Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Isurus oxyrinchus,Shortfin Mako,Endangered,Decreasing,Marine,Elasmo,0,0,non-genuine
Mycteroperca jordani,Gulf Grouper,Endangered,Decreasing,Marine,Bony,0,0,non-genuine
Sciades parkeri,Gillbacker Sea Catfish,Vulnerable,Decreasing,"Marine,Freshwater",Bony,0,0,non-genuine
Sphyrna zygaena,Smooth Hammerhead,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Aonyx congicus,Congo Clawless Otter,Near Threatened,Decreasing,"Freshwater,Terrestrial",LandMam,0,0,non-genuine
Buteogallus solitarius,Black Solitary Eagle,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Carcharhinus plumbeus,Sandbar Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Gypaetus barbatus,Bearded Vulture,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Anoxypristis cuspidata,Narrow Sawfish,Endangered,Decreasing,Marine,Elasmo,0,0,non-genuine
Ketupa flavipes,Tawny Fish-owl,Least Concern,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Neomonachus schauinslandi,Hawaiian Monk Seal,Endangered,Decreasing,"Marine,Terrestrial",MarineMam,0,0,non-genuine
Puma concolor,Puma,Least Concern,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Carcharhinus obscurus,Dusky Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Epinephelus malabaricus,Malabar Grouper,Least Concern,Decreasing,Marine,Bony,0,0,non-genuine
Tomistoma schlegelii,False Gharial,Vulnerable,Decreasing,"Freshwater,Terrestrial",ReptAmph,0,0,non-genuine
Epinephelus itajara,Atlantic Goliath Grouper,Vulnerable,Decreasing,Marine,Bony,0,0,non-genuine
Squatina squatina,Angelshark,Critically Endangered,Decreasing,Marine,Elasmo,0,0,non-genuine
Carcharhinus longimanus,Oceanic Whitetip Shark,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Pristis pectinata,Smalltooth Sawfish,Critically Endangered,Decreasing,Marine,Elasmo,0,0,non-genuine
Lamna nasus,Porbeagle,Vulnerable,Decreasing,Marine,Elasmo,0,0,non-genuine
Andrias japonicus,Japanese Giant Salamander,Near Threatened,Decreasing,Freshwater,ReptAmph,0,0,non-genuine
Aquila rapax,Tawny Eagle,Vulnerable,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Bubo scandiacus,Snowy Owl,Vulnerable,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Clanga clanga,Greater Spotted Eagle,Vulnerable,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Sagittarius serpentarius,Secretarybird,Vulnerable,Decreasing,Terrestrial,Birds,0,0,non-genuine
Sousa teuszii,Atlantic Humpbacked Dolphin,Critically Endangered,Decreasing,"Marine,Freshwater",MarineMam,0,0,non-genuine
Aonyx capensis,African Clawless Otter,Near Threatened,Decreasing,"Marine,Freshwater,Terrestrial",LandMam,0,0,non-genuine
Aquila gurneyi,Gurney's Eagle,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Buteogallus coronatus,Crowned Solitary Eagle,Endangered,Decreasing,Terrestrial,Birds,0,0,non-genuine
Cuon alpinus,Dhole,Endangered,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Haliaeetus leucoryphus,Pallas's Fish-eagle,Endangered,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Lycaon pictus,African Wild Dog,Endangered,Decreasing,NA,LandMam,0,0,non-genuine
Megatriorchis doriae,Doria's Goshawk,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Nesasio solomonensis,Fearful Owl,Vulnerable,Decreasing,Terrestrial,Birds,0,0,non-genuine
Nisaetus floris,Flores Hawk-eagle,Critically Endangered,Decreasing,Terrestrial,Birds,0,0,non-genuine
Orcaella brevirostris,Irrawaddy Dolphin,Endangered,Decreasing,"Marine,Freshwater",MarineMam,0,0,non-genuine
Pteronura brasiliensis,Giant Otter,Endangered,Decreasing,"Freshwater,Terrestrial",LandMam,0,0,non-genuine
Sousa chinensis,Indo-Pacific Humpbacked Dolphin,Vulnerable,Decreasing,"Marine,Freshwater",MarineMam,0,0,non-genuine
Stephanoaetus coronatus,Crowned Eagle,Near Threatened,Decreasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Terathopius ecaudatus,Bateleur,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Vultur gryphus,Andean Condor,Near Threatened,Decreasing,Terrestrial,Birds,0,0,non-genuine
Canis simensis,Ethiopian Wolf,Endangered,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Crocuta crocuta,Spotted Hyaena,Least Concern,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Panthera onca,Jaguar,Near Threatened,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Panthera uncia,Snow Leopard,Vulnerable,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Pardofelis marmorata,Marbled Cat,Near Threatened,Decreasing,Terrestrial,LandMam,0,0,non-genuine
Aquila audax,Wedge-tailed Eagle,Least Concern,Increasing,"Freshwater,Terrestrial",Birds,0,0,NA
Arctocephalus australis,South American Fur Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Arctocephalus forsteri,New Zealand Fur Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Arctocephalus pusillus,Afro-Australian Fur Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Balaenoptera musculus,Blue Whale,Endangered,Increasing,Marine,MarineMam,0,0,NA
Buteo jamaicensis,Red-tailed Hawk,Least Concern,Increasing,Terrestrial,Birds,0,0,NA
Caracara cheriway,Crested Caracara,Least Concern,Increasing,"Freshwater,Terrestrial",Birds,0,0,NA
Caracara plancus,Southern Caracara,Least Concern,Increasing,"Freshwater,Terrestrial",Birds,0,0,NA
Conger conger,Conger Eel,Least Concern,Increasing,Marine,Bony,0,0,NA
Coragyps atratus,American Black Vulture,Least Concern,Increasing,Terrestrial,Birds,0,0,NA
Crocodylus acutus,American Crocodile,Vulnerable,Increasing,"Marine,Freshwater,Terrestrial",ReptAmph,0,0,NA
Gymnogyps californianus,California Condor,Critically Endangered,Increasing,Terrestrial,Birds,0,0,NA
Gyps fulvus,Griffon Vulture,Least Concern,Increasing,Terrestrial,Birds,0,0,NA
Haliaeetus leucocephalus,Bald Eagle,Least Concern,Increasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Halichoerus grypus,Grey Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Ictalurus punctatus,Channel Catfish,Least Concern,Increasing,Freshwater,Bony,0,0,NA
Lophaetus occipitalis,Long-crested Eagle,Least Concern,Increasing,"Freshwater,Terrestrial",Birds,0,0,NA
Mirounga angustirostris,Northern Elephant Seal,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Pagophilus groenlandicus,Harp Seal,Least Concern,Increasing,Marine,MarineMam,0,0,NA
Pandion haliaetus,Osprey,Least Concern,Increasing,"Marine,Freshwater,Terrestrial",Birds,0,0,NA
Strix nebulosa,Great Grey Owl,Least Concern,Increasing,"Freshwater,Terrestrial",Birds,0,0,NA
Zalophus californianus,Californian Sea Lion,Least Concern,Increasing,"Marine,Terrestrial",MarineMam,0,0,NA
Buteo regalis,Ferruginous Hawk,Least Concern,Increasing,Terrestrial,Birds,0,0,non-genuine
Aquila adalberti,Spanish Imperial Eagle,Vulnerable,Increasing,"Freshwater,Terrestrial",Birds,0,0,non-genuine
Balaenoptera borealis,Sei Whale,Endangered,Increasing,Marine,MarineMam,0,0,non-genuine
Monachus monachus,Mediterranean Monk Seal,Endangered,Increasing,"Marine,Terrestrial",MarineMam,0,0,non-genuine
Acanthocybium solandri,Wahoo,Least Concern,Stable,Marine,Bony,0,0,NA
Alligator sinensis,Chinese Alligator,Critically Endangered,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Apodora papuana,Papuan Olive Python,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Aquila chrysaetos,Golden Eagle,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Aquila verreauxii,Verreaux's Eagle,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Arctocephalus tropicalis,Subantarctic Fur Seal,Least Concern,Stable,"Marine,Terrestrial",MarineMam,0,0,NA
Bubo ascalaphus,Pharaoh Eagle-owl,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,NA
Bubo bengalensis,Rock Eagle-owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Bubo capensis,Cape Eagle-owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Bubo lacteus,Verreaux's Eagle-owl,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,NA
Bubo magellanicus,Magellanic Horned Owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Bubo sumatranus,Barred Eagle-owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Bubo virginianus,Great Horned Owl,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Buteo augur,Augur Buzzard,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Buteo galapagoensis,Galapagos Hawk,Vulnerable,Stable,"Marine,Terrestrial",Birds,0,0,NA
Buteo hemilasius,Upland Buzzard,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Buteo rufinus,Long-legged Buzzard,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Buteo rufofuscus,Jackal Buzzard,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Buteo socotraensis,Socotra Buzzard,Vulnerable,Stable,Terrestrial,Birds,0,0,NA
Buteogallus urubitinga,Great Black Hawk,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Caiman crocodilus,Common Caiman,Least Concern,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Carcharhinus tilstoni,Australian Blacktip Shark,Least Concern,Stable,Marine,Elasmo,0,0,NA
Cathartes aura,Turkey Vulture,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Cathartes burrovianus,Lesser Yellow-headed Vulture,Least Concern,Stable,"Freshwater,Terrestrial",Birds,0,0,NA
Circaetus gallicus,Short-toed Snake-eagle,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Clanga pomarina,Lesser Spotted Eagle,Least Concern,Stable,Terrestrial,Birds,0,0,NA
Crocodylus palustris,Mugger,Vulnerable,Stable,"Freshwater,Terrestrial",ReptAmph,0,0,NA
Dendroaspis polylepis,Black Mamba,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Dolichophis jugularis,Large Whip Snake,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Dolichophis schmidti,Schmidt's Whip Snake,Least Concern,Stable,Terrestrial,ReptAmph,0,0,NA
Esox lucius,Northern Pike,Least Concern,Stable,Freshwater,Bony,0,0,NA
Esox masquinongy,Muskellunge,Least Concern,Stable,Freshwater,Bony,0,0,NA
