assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
12311036,60132,Torpedo andersoni,31,Atlantic - western central,,Native,Extant,
12311140,60133,Torpedo microdiscus,87,Pacific - southeast,,Native,Extant,
12311224,60134,Torpedo panthera,51,Indian Ocean - western,,Native,Extant,
12311366,60135,Tetronarce puelcha,41,Atlantic - southwest,,Native,Extant,
12311480,60136,Torpedo sinuspersici,51,Indian Ocean - western,,Native,Extant,
12311667,60137,Tetronarce tremens,77,Pacific - eastern central,,Native,Extant,
12311667,60137,Tetronarce tremens,87,Pacific - southeast,,Native,Extant,
12314601,60154,Dasyatis hypostigma,41,Atlantic - southwest,,Native,Extant,
12315837,60167,Rhinobatos hynnicephalus,61,Pacific - northwest,,Native,Extant,
12316187,60169,Rhinobatos nudidorsalis,51,Indian Ocean - western,,Native,Extant,
12317805,60201,Sphyrna media,77,Pacific - eastern central,,Native,Extant,
12317805,60201,Sphyrna media,31,Atlantic - western central,,Native,Extant,
12317805,60201,Sphyrna media,87,Pacific - southeast,,Native,Extant,
12317805,60201,Sphyrna media,41,Atlantic - southwest,,Native,Extant,
12318061,60202,Sphyrna tudes,31,Atlantic - western central,,Native,Extant,
12318061,60202,Sphyrna tudes,41,Atlantic - southwest,,Native,Extant,
12318268,60203,Mustelus schmitti,41,Atlantic - southwest,,Native,Extant,
12318622,60204,Mustelus higmani,31,Atlantic - western central,,Native,Extant,
12318622,60204,Mustelus higmani,41,Atlantic - southwest,,Native,Extant,
12318893,60205,Mustelus minicanis,31,Atlantic - western central,,Native,Extant,
12319364,60206,Mustelus sinusmexicanus,31,Atlantic - western central,,Native,Extant,
12320026,60208,Centrophorus tessellatus,51,Indian Ocean - western,,Origin Uncertain,Presence Uncertain,
12320026,60208,Centrophorus tessellatus,77,Pacific - eastern central,,Origin Uncertain,Presence Uncertain,
12320026,60208,Centrophorus tessellatus,31,Atlantic - western central,,Origin Uncertain,Presence Uncertain,
12320026,60208,Centrophorus tessellatus,61,Pacific - northwest,,Native,Extant,
12320026,60208,Centrophorus tessellatus,81,Pacific - southwest,,Origin Uncertain,Presence Uncertain,
12320238,60209,Cirrhigaleus asper,51,Indian Ocean - western,,Native,Extant,
12320238,60209,Cirrhigaleus asper,31,Atlantic - western central,,Native,Extant,
12320238,60209,Cirrhigaleus asper,77,Pacific - eastern central,,Native,Extant,
12320238,60209,Cirrhigaleus asper,47,Atlantic - southeast,,Native,Extant,
12320238,60209,Cirrhigaleus asper,41,Atlantic - southwest,,Native,Extant,
12320238,60209,Cirrhigaleus asper,57,Indian Ocean - eastern,,Origin Uncertain,Presence Uncertain,
12321099,60211,Heteroscymnoides marleyi,51,Indian Ocean - western,,Native,Extant,
12321099,60211,Heteroscymnoides marleyi,87,Pacific - southeast,,Native,Extant,
12321099,60211,Heteroscymnoides marleyi,47,Atlantic - southeast,,Native,Extant,
12321694,60213,Somniosus microcephalus,27,Atlantic - northeast,,Native,Extant,
12321694,60213,Somniosus microcephalus,21,Atlantic - northwest,,Native,Extant,
12321694,60213,Somniosus microcephalus,18,Arctic Sea,,Native,Extant,
12322117,60214,Squaliolus laticaudus,51,Indian Ocean - western,,Native,Extant,
12322117,60214,Squaliolus laticaudus,31,Atlantic - western central,,Native,Extant,
12322117,60214,Squaliolus laticaudus,61,Pacific - northwest,,Native,Extant,
12322117,60214,Squaliolus laticaudus,27,Atlantic - northeast,,Native,Extant,
12322117,60214,Squaliolus laticaudus,41,Atlantic - southwest,,Native,Extant,
12322117,60214,Squaliolus laticaudus,71,Pacific - western central,,Native,Extant,
12322117,60214,Squaliolus laticaudus,34,Atlantic - eastern central,,Native,Extant,
12322535,60215,Zameus squamulosus,51,Indian Ocean - western,,Native,Extant,
12322535,60215,Zameus squamulosus,77,Pacific - eastern central,,Native,Extant,
12322535,60215,Zameus squamulosus,31,Atlantic - western central,,Native,Extant,
12322535,60215,Zameus squamulosus,61,Pacific - northwest,,Native,Extant,
12322535,60215,Zameus squamulosus,27,Atlantic - northeast,,Native,Extant,
12322535,60215,Zameus squamulosus,41,Atlantic - southwest,,Native,Extant,
12322535,60215,Zameus squamulosus,81,Pacific - southwest,,Origin Uncertain,Presence Uncertain,
12322535,60215,Zameus squamulosus,71,Pacific - western central,,Origin Uncertain,Presence Uncertain,
12322535,60215,Zameus squamulosus,34,Atlantic - eastern central,,Native,Extant,
12323052,60217,Carcharhinus perezi,31,Atlantic - western central,,Native,Extant,
